year,region,variable,Coverage,dlm.geomean,dlm.lower,dlm.upper,fixed.effects,lower.whisker,q.25,median,q.75,upper.whisker
1970,Atlantic Ocean Tunas,BvB,1,1.747771553,1.747771553,1.747771553,1.80304926,0.793,1.16830427,1.79,1.920094867,2.405
1971,Atlantic Ocean Tunas,BvB,1,1.722069603,1.722069603,1.722069603,1.774271222,0.805,1.086157876,1.695737257,1.88,2.363
1972,Atlantic Ocean Tunas,BvB,1,1.690492515,1.690492515,1.690492515,1.738755304,0.812,0.990320417,1.655,1.88,2.299
1973,Atlantic Ocean Tunas,BvB,1,1.675901629,1.675901629,1.675901629,1.722867239,0.816,0.914,1.67,1.89,2.261
1974,Atlantic Ocean Tunas,BvB,1,1.658938947,1.658938947,1.658938947,1.704261416,0.732,0.943,1.67,1.89,2.208
1975,Atlantic Ocean Tunas,BvB,1,1.615549745,1.615549745,1.615549745,1.655281517,0.65,0.915,1.615342581,1.89,2.146
1976,Atlantic Ocean Tunas,BvB,1,1.575293426,1.575293426,1.575293426,1.61001076,0.572,0.908,1.64,1.89,2.098
1977,Atlantic Ocean Tunas,BvB,1,1.521990674,1.521990674,1.521990674,1.549935966,0.491,0.878,1.611888976,1.89,2.103
1978,Atlantic Ocean Tunas,BvB,1,1.498372532,1.498372532,1.498372532,1.523869963,0.439,0.841,1.579963,1.84,2.082
1979,Atlantic Ocean Tunas,BvB,1,1.471288637,1.471288637,1.471288637,1.493885468,0.388,0.9,1.571498843,1.79,2.071
1980,Atlantic Ocean Tunas,BvB,1,1.44847433,1.44847433,1.44847433,1.468794382,0.352,0.963,1.545714568,1.79,2.078
1981,Atlantic Ocean Tunas,BvB,1,1.422568641,1.422568641,1.422568641,1.440218343,0.302,0.9595,1.515,1.77,2.039
1982,Atlantic Ocean Tunas,BvB,1,1.391160773,1.391160773,1.391160773,1.405442909,0.285,0.9669,1.482131331,1.624,1.995
1983,Atlantic Ocean Tunas,BvB,1,1.349971429,1.349971429,1.349971429,1.359674593,0.273,0.93,1.405,1.609201503,1.943
1984,Atlantic Ocean Tunas,BvB,1,1.31071827,1.31071827,1.31071827,1.316205239,0.26,0.81,1.34,1.598737407,1.936
1985,Atlantic Ocean Tunas,BvB,1,1.281646155,1.281646155,1.281646155,1.284278631,0.234,0.77,1.34,1.518174228,1.899
1986,Atlantic Ocean Tunas,BvB,1,1.226314407,1.226314407,1.226314407,1.222998887,0.24,0.74,1.32,1.414,1.849
1987,Atlantic Ocean Tunas,BvB,1,1.184492028,1.184492028,1.184492028,1.177024428,0.231,0.652,1.231145525,1.374,1.837
1988,Atlantic Ocean Tunas,BvB,1,1.180709061,1.180709061,1.180709061,1.173501044,0.229,0.67,1.151385315,1.41,1.824
1989,Atlantic Ocean Tunas,BvB,1,1.181172894,1.181172894,1.181172894,1.174705479,0.222,0.64,1.134018979,1.44,1.799
1990,Atlantic Ocean Tunas,BvB,1,1.146532708,1.146532708,1.146532708,1.136806213,0.213,0.64,1.211214062,1.38,1.76
1991,Atlantic Ocean Tunas,BvB,1,1.121050761,1.121050761,1.121050761,1.109154115,0.209,0.59,1.184345274,1.33,1.711
1992,Atlantic Ocean Tunas,BvB,1,1.093928682,1.093928682,1.093928682,1.079726662,0.203,0.609,1.12507936,1.28,1.65
1993,Atlantic Ocean Tunas,BvB,1,1.106631146,1.106631146,1.106631146,1.094414825,0.206,0.653,1.115883551,1.33,1.62
1994,Atlantic Ocean Tunas,BvB,1,1.076455505,1.076455505,1.076455505,1.061602965,0.205,0.639,1.05959568,1.29,1.61
1995,Atlantic Ocean Tunas,BvB,1,1.056371102,1.056371102,1.056371102,1.039994578,0.215,0.656,1.038461488,1.2,1.62
1996,Atlantic Ocean Tunas,BvB,1,1.034145661,1.034145661,1.034145661,1.016046878,0.234,0.665,0.98845,1.222,1.66
1997,Atlantic Ocean Tunas,BvB,1,1.006984002,1.006984002,1.006984002,0.986703636,0.251,0.664,0.96115,1.126,1.7
1998,Atlantic Ocean Tunas,BvB,1,0.985939999,0.985939999,0.985939999,0.964123349,0.256,0.688,0.93265,1.062,1.27
1999,Atlantic Ocean Tunas,BvB,1,0.968559991,0.968559991,0.968559991,0.945579829,0.249,0.692,0.913,1.016837872,1.27
2000,Atlantic Ocean Tunas,BvB,1,0.940676129,0.940676129,0.940676129,0.915577189,0.253,0.683,0.851,0.99,1.32
2001,Atlantic Ocean Tunas,BvB,1,0.905888229,0.905888229,0.905888229,0.878135342,0.293445174,0.664,0.829,0.94,1.3
2002,Atlantic Ocean Tunas,BvB,1,0.893466116,0.893466116,0.893466116,0.865066419,0.44,0.66,0.838153005,0.9,1.23
2003,Atlantic Ocean Tunas,BvB,1,0.907099533,0.907099533,0.907099533,0.88029984,0.284774166,0.65,0.8385,0.902,1.0455
2004,Atlantic Ocean Tunas,BvB,1,0.904698582,0.904698582,0.904698582,0.878094122,0.252,0.6,0.7965,0.937631987,1.0713
2005,Atlantic Ocean Tunas,BvB,1,0.89485392,0.89485392,0.89485392,0.867778105,0.258,0.614,0.80005,0.957,1.4
2006,Atlantic Ocean Tunas,BvB,1,0.894354957,0.894354957,0.894354957,0.867616014,0.268,0.59,0.8138,0.975,1.36
2007,Atlantic Ocean Tunas,BvB,0.928571429,0.907563776,0.86461803,0.952642645,0.861955408,0.301,0.54,0.786,1.01,1.38
2008,Atlantic Ocean Tunas,BvB,0.928571429,0.869560743,0.828232905,0.91295079,0.82195125,0.26,0.357336814,0.823,1.03,1.42
2009,Atlantic Ocean Tunas,BvB,0.785714286,0.896116895,0.823519077,0.975114617,0.99267134,0.326760101,0.698,0.881,1.111051024,1.51
2010,Atlantic Ocean Tunas,BvB,0.785714286,0.921850897,0.84701291,1.003301208,1.02428868,0.322196412,0.68775,0.904,1.184671782,1.46
2011,Atlantic Ocean Tunas,BvB,0.642857143,0.967086538,0.866455945,1.079404415,1.175466831,0.442,0.883,1.12,1.2573,1.55
2012,Atlantic Ocean Tunas,BvB,0.642857143,0.983701736,0.880620249,1.098849485,1.196849673,0.479,0.913,1.14,1.2951,1.73
2013,Atlantic Ocean Tunas,BvB,0.357142857,0.968822761,0.832022555,1.128115501,0.989308639,0.7444,0.942,1.153699207,1.2,1.319
2014,Atlantic Ocean Tunas,BvB,0.285714286,0.990985126,0.840354283,1.16861607,0.998289504,0.7435,0.86175,1.135,1.3171,1.3442
